epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,29835.2,0.89589,1.07014,0.9914,0.61131,0.70851,0.71242,0.54753,0.85201,0.95417,1.03549,0.006865,0.006865,0.006865
97,30112.8,0.89421,1.06521,0.98115,0.6072,0.7389,0.71764,0.55041,0.84711,0.94622,1.0289,0.006832,0.006832,0.006832
98,30391.2,0.89479,1.04391,0.98516,0.62304,0.72868,0.72272,0.5532,0.85087,0.94572,1.02837,0.006799,0.006799,0.006799
99,30669.1,0.90049,1.07375,0.98259,0.61748,0.72937,0.71695,0.55232,0.85341,0.94686,1.02845,0.006766,0.006766,0.006766
100,30946.3,0.88923,1.07109,0.98232,0.61143,0.72827,0.71171,0.54715,0.85045,0.94934,1.03194,0.006733,0.006733,0.006733
101,31220.8,0.89279,1.11562,0.98244,0.62135,0.73021,0.71294,0.55073,0.84621,0.93578,1.02774,0.0067,0.0067,0.0067
102,31495.8,0.8869,1.03941,0.98343,0.6059,0.72937,0.71141,0.54708,0.85197,0.93696,1.03165,0.006667,0.006667,0.006667
103,31767.4,0.88026,1.05546,0.97949,0.62255,0.71782,0.70983,0.54919,0.84548,0.946,1.03075,0.006634,0.006634,0.006634
104,32038.8,0.8962,1.04771,0.98935,0.62527,0.71957,0.71263,0.54987,0.85183,0.93787,1.03578,0.006601,0.006601,0.006601
105,32315,0.88353,1.06304,0.98451,0.60701,0.73066,0.70803,0.54606,0.84535,0.94956,1.03386,0.006568,0.006568,0.006568
106,32588.8,0.8914,1.04987,0.98067,0.61713,0.7291,0.71885,0.55519,0.84569,0.94693,1.02954,0.006535,0.006535,0.006535
107,32866.8,0.8941,1.09609,0.9836,0.62369,0.7225,0.71436,0.54989,0.84646,0.94905,1.03165,0.006502,0.006502,0.006502
108,33142.2,0.88157,1.03347,0.9811,0.62352,0.72937,0.71727,0.55317,0.8461,0.94768,1.03112,0.006469,0.006469,0.006469
109,33416.6,0.89268,1.04446,0.98502,0.6161,0.72607,0.71789,0.55284,0.85084,0.94332,1.0348,0.006436,0.006436,0.006436
110,33692.4,0.88648,1.02458,0.98327,0.63831,0.70135,0.71783,0.55264,0.8473,0.95305,1.03053,0.006403,0.006403,0.006403
111,33968.8,0.89159,1.07619,0.98322,0.62259,0.71049,0.71036,0.54766,0.84674,0.95444,1.03174,0.00637,0.00637,0.00637
112,34245.1,0.87972,1.03402,0.98011,0.61214,0.72827,0.71571,0.55147,0.84402,0.93885,1.02815,0.006337,0.006337,0.006337
113,34532.4,0.88609,1.05379,0.98132,0.6074,0.72305,0.71228,0.54895,0.84549,0.95021,1.03,0.006304,0.006304,0.006304
114,34811.1,0.88462,1.0519,0.98271,0.62165,0.72663,0.71834,0.5525,0.84769,0.93254,1.03196,0.006271,0.006271,0.006271
115,35096.7,0.88974,1.03747,0.99188,0.61527,0.72043,0.71426,0.54961,0.84407,0.93859,1.02966,0.006238,0.006238,0.006238
116,35384.1,0.8964,1.03321,0.98291,0.61759,0.71452,0.71289,0.54831,0.84843,0.95503,1.03073,0.006205,0.006205,0.006205
117,35663.6,0.88553,1.01679,0.98346,0.63441,0.7104,0.7161,0.55062,0.84915,0.93468,1.03545,0.006172,0.006172,0.006172
118,35941.3,0.87607,0.9933,0.97523,0.63104,0.71287,0.71579,0.55342,0.84513,0.94338,1.03034,0.006139,0.006139,0.006139
119,36221.3,0.88345,1.02518,0.98599,0.62061,0.72522,0.71253,0.54932,0.84619,0.93082,1.02928,0.006106,0.006106,0.006106
120,36501.2,0.88538,1.02858,0.97784,0.6142,0.72607,0.71518,0.55094,0.84364,0.94575,1.02902,0.006073,0.006073,0.006073
121,36780.3,0.87928,1.01702,0.97863,0.62048,0.72303,0.71361,0.5509,0.83884,0.92987,1.02668,0.00604,0.00604,0.00604
122,37060.2,0.88002,1.02183,0.97729,0.62686,0.73094,0.71874,0.55525,0.84278,0.92749,1.02671,0.006007,0.006007,0.006007
